Protocol Version #Servers #Readers #Writers #Q RInt WInt RTot1Comm RTot2Comm RAve2comm RRatio RPercentage RAveTime WTot1Comm WTot2Comm WAve2comm WRatio WPercentage WAveTime
SIMPLE randInt 25 10 10 25 2.3 4 0 1250 250.0000 1.0000 100.00 2.9182 0 1250 250.0000 1.0000 100.00 2.9292
SIMPLE randInt 25 20 10 25 2.3 4 0 2500 500.0000 1.0000 100.00 2.9392 0 1250 250.0000 1.0000 100.00 2.9695
SIMPLE randInt 25 40 10 25 2.3 4 0 5000 1000.0000 1.0000 100.00 2.9343 0 1250 250.0000 1.0000 100.00 2.9600
SIMPLE randInt 25 80 10 25 2.3 4 0 10000 2000.0000 1.0000 100.00 2.9501 0 1250 250.0000 1.0000 100.00 2.9909
SIMPLE randInt 25 10 20 25 2.3 4 0 1250 250.0000 1.0000 100.00 2.9261 0 2500 500.0000 1.0000 100.00 2.9617
SIMPLE randInt 25 20 20 25 2.3 4 0 2500 500.0000 1.0000 100.00 2.9300 0 2500 500.0000 1.0000 100.00 2.9534
SIMPLE randInt 25 40 20 25 2.3 4 0 5000 1000.0000 1.0000 100.00 2.9177 0 2500 500.0000 1.0000 100.00 2.9521
SIMPLE randInt 25 80 20 25 2.3 4 0 10000 2000.0000 1.0000 100.00 2.9362 0 2500 500.0000 1.0000 100.00 2.9503
SIMPLE randInt 25 10 40 25 2.3 4 0 1250 250.0000 1.0000 100.00 2.9448 0 5000 1000.0000 1.0000 100.00 2.9870
SIMPLE randInt 25 20 40 25 2.3 4 0 2500 500.0000 1.0000 100.00 2.9189 0 5000 1000.0000 1.0000 100.00 2.9330
SIMPLE randInt 25 40 40 25 2.3 4 0 5000 1000.0000 1.0000 100.00 2.9533 0 5000 1000.0000 1.0000 100.00 2.9736
SIMPLE randInt 25 80 40 25 2.3 4 0 10000 2000.0000 1.0000 100.00 2.9149 0 5000 1000.0000 1.0000 100.00 2.9071
SIMPLE randInt 25 10 80 25 2.3 4 0 1250 250.0000 1.0000 100.00 2.9271 0 10000 2000.0000 1.0000 100.00 2.9642
SIMPLE randInt 25 20 80 25 2.3 4 0 2500 500.0000 1.0000 100.00 2.9611 0 10000 2000.0000 1.0000 100.00 2.9964
SIMPLE randInt 25 40 80 25 2.3 4 0 5000 1000.0000 1.0000 100.00 2.9771 0 10000 2000.0000 1.0000 100.00 2.9940
SIMPLE randInt 25 80 80 25 2.3 4 0 10000 2000.0000 1.0000 100.00 2.9246 0 10000 2000.0000 1.0000 100.00 2.9408
CWFR randInt 25 10 10 25 2.3 4 1007 243 48.6000 .1944 19.44 1.8014 0 1250 250.0000 1.0000 100.00 2.9065
